"Ecosystem_service","Variable","Degrees_of_freedom","F_statistic","P_value","Adjusted_R_Squared","Deviance_Explained"
"cultural_service_charismatic_species","Frequency",2.94722930647987,153.962153359469,0,0.601408612304817,164809.284412845
"cultural_service_charismatic_species","Frequency Weighted Distance",4.25499990891825,180.127337741521,0,0.717269854990289,116491.036629435
"cultural_service_charismatic_species","Isolation (Mean)",5.44442343072826,23.4365299874832,0,0.2879952621843,292417.900399476
"ecotourism","Frequency",3.91521823489968,61.0961004486374,0,0.440804525014463,2452.84646866477
"ecotourism","Frequency Weighted Distance",5.83907704540689,290.926652333028,0,0.844574446905413,678.212205759368
"ecotourism","Isolation (Mean)",4.54402297120397,25.2727790962547,0,0.271780023723185,3188.82565222692
"carrion_control","Frequency",4.21116093434201,66.8919220475552,0,0.480504186407653,5163.65302169179
"carrion_control","Frequency Weighted Distance",5.38157610818146,324.397603782601,0,0.849710163998687,1489.11366406929
"carrion_control","Isolation (Mean)",5.09474282209111,26.2378361568715,0,0.298557102145323,6955.50019190228
"pollination","Frequency",3.47585420118507,44.8012361438073,0,0.340958422596333,45722.7065378481
"pollination","Frequency Weighted Distance",3.43884571129033,229.016117741396,0,0.725483470884205,19047.1933893891
"pollination","Isolation (Mean)",5.84174819003016,25.2526572460083,0,0.315255722728787,47202.5598953625
"top_down_regulation","Frequency",4.18453961737066,34.601714502965,0,0.322051627276374,178.048432382278
"top_down_regulation","Frequency Weighted Distance",4.17255315659142,225.680111759838,0,0.757444761450296,63.7039360092447
"top_down_regulation","Isolation (Mean)",3.66305939381941,22.45495921449,0,0.214093973358993,206.69221631098
"seed_dispersal","Frequency",2.96842149316562,94.3881511525353,0,0.482820416803501,662125.840249862
"seed_dispersal","Frequency Weighted Distance",3.90334989761168,204.017418209361,0,0.726265664491887,349568.846434549
"seed_dispersal","Isolation (Mean)",5.56409868357426,23.7592317549923,0,0.293964499154102,897587.451399858
"pest_and_disease_control","Frequency",3.6664419319197,61.0733675570546,0,0.426056189547752,201564.85358544
"pest_and_disease_control","Frequency Weighted Distance",3.62625634423967,373.494444725987,0,0.819232791151767,63491.0057287458
"pest_and_disease_control","Isolation (Mean)",5.49724965450127,23.2196196747414,0,0.286327978824255,249397.311524297
"nutrient_transporting_horizontal_and_vertical","Frequency",3.84408010282103,73.3516540219402,0,0.482984550592013,21123.1353943042
"nutrient_transporting_horizontal_and_vertical","Frequency Weighted Distance",4.15934845870846,395.436978026613,0,0.845157401573122,6320.84671719873
"nutrient_transporting_horizontal_and_vertical","Isolation (Mean)",4.64542054085896,25.42144757798,0,0.276717123565497,29486.4055133471
"ecosystem_engineering","Frequency",3.99569046024941,57.5654980842377,0,0.432369391944607,3565.04707468332
"ecosystem_engineering","Frequency Weighted Distance",4.31429312763209,425.38275800992,0,0.858606113004472,887.270360858885
"ecosystem_engineering","Isolation (Mean)",3.86700851116158,24.0018442578615,0,0.234201832994037,4811.32618012817
"rodent_control","Frequency",4.26335572548994,55.2518690421543,0,0.436291136923978,5392.84048405028
"rodent_control","Frequency Weighted Distance",4.12639268991265,324.378841317963,0,0.815834554201296,1762.51047786663
"rodent_control","Isolation (Mean)",4.96492364491788,32.8159133375471,0,0.343450286926701,6269.10406622253
"disease_sentinelling","Frequency",3.92040498342002,66.6676467068314,0,0.463142843006909,78702.9436935194
"disease_sentinelling","Frequency Weighted Distance",3.98352630956178,497.653815048362,0,0.868306104495043,19302.9547795769
"disease_sentinelling","Isolation (Mean)",4.69626800110305,27.1338592368162,0,0.291812219719784,103602.256410338
"total","Frequency",3.43501323061306,82.6740162200617,0,0.485045963150125,6308315.44785282
"total","Frequency Weighted Distance",3.97320921011109,309.329069246688,0,0.803516527916563,2403475.75792156
"total","Isolation (Mean)",5.39540879333239,25.4079457679566,0,0.302452440739086,8499925.45107348
